Title,Duration,Date,Time,Location,ImageURL
Happening,99,08/09,20h00,Salle 300,https://www.etrangefestival.com/images/movies/3dd10a225747d5be7cf9c884189ab3a63f360a44.jpg
Spiritwalker,108,08/09,21h00,Salle 500,https://www.etrangefestival.com/images/movies/4a1277ec2c6530c1820f74bf37a6c706c966404b.jpg
Spiritwalker,108,09/09,15h15,Salle 500,https://www.etrangefestival.com/images/movies/4a1277ec2c6530c1820f74bf37a6c706c966404b.jpg
Courts 4 - Dans la maison...,93,08/09,21h30,Salle 100,https://www.etrangefestival.com/images/programs/63320a2acc82cd8e175e9d75d67a9425c0169ead.jpg
Courts 4 - Dans la maison...,93,10/09,19h30,Salle 100,https://www.etrangefestival.com/images/programs/63320a2acc82cd8e175e9d75d67a9425c0169ead.jpg
La guerre des espions,99,08/09,22h00,Salle 300,https://www.etrangefestival.com/images/movies/8e2a017345228129dfe6164d757d2a94b26884ff.jpg
La guerre des espions,99,11/09,21h30,Salle 300,https://www.etrangefestival.com/images/movies/8e2a017345228129dfe6164d757d2a94b26884ff.jpg
Double suicide à Amijima,105,09/09,14h00,Salle 300,https://www.etrangefestival.com/images/movies/63387efb236283d42e4c2c39d300c2480f28178f.jpg
Double suicide à Amijima,105,16/09,14h30,Salle 300,https://www.etrangefestival.com/images/movies/63387efb236283d42e4c2c39d300c2480f28178f.jpg
FilmFarsi,84,09/09,17h45,Salle 100,https://www.etrangefestival.com/images/movies/f2f45e7c022fecc64791b84b77f17b130647c55b.jpg
FilmFarsi,84,18/09,18h30,Salle 100,https://www.etrangefestival.com/images/movies/f2f45e7c022fecc64791b84b77f17b130647c55b.jpg
Sans filtre,147,09/09,18h00,Salle 500,https://www.etrangefestival.com/images/movies/ec5cff74cace6a0ac70b4ab543462f4784c861cf.jpg
Sans filtre,147,10/09,14h15,Salle 300,https://www.etrangefestival.com/images/movies/ec5cff74cace6a0ac70b4ab543462f4784c861cf.jpg
Soirée Punk Neuroatypique,186,09/09,19h30,Salle 300,https://www.etrangefestival.com/images/programs/66657ebd291211b5f10554fae53fbb27ea988683.jpg
Hot blooded,119,09/09,21h30,Salle 500,https://www.etrangefestival.com/images/movies/a4932bb87a299fe9c9072daffffe77cf9555875f.jpg
Hot blooded,119,13/09,22h00,Salle 500,https://www.etrangefestival.com/images/movies/a4932bb87a299fe9c9072daffffe77cf9555875f.jpg
The Midnight Terror,120,09/09,21h45,Salle 100,https://www.etrangefestival.com/images/movies/cd1ce65ef716a25bd9ec9aa818e1a0e5582cac17.jpg
Le collectionneur de cerveaux,100,10/09,15h00,Salle 100,https://www.etrangefestival.com/images/programs/e92069fae7337ec0a79dfe5d1f2ae272cb338113.jpg
Diamond 33,120,10/09,17h00,Salle 100,https://www.etrangefestival.com/images/movies/28a101b602a4d6c8542e12ff3dbbbd815e45fd23.jpg
Diamond 33,120,17/09,21h30,Salle 100,https://www.etrangefestival.com/images/movies/28a101b602a4d6c8542e12ff3dbbbd815e45fd23.jpg
Rimini,114,10/09,17h15,Salle 300,https://www.etrangefestival.com/images/movies/e08f6d89eef59f200c34536fec73468892351bb2.jpg
Rimini,114,17/09,16h45,Salle 100,https://www.etrangefestival.com/images/movies/e08f6d89eef59f200c34536fec73468892351bb2.jpg
La Fuite du Capitaine Volkonogov,120,10/09,18h00,Salle 500,https://www.etrangefestival.com/images/movies/d88b466f362ed3fa0bddc17abac307e116372db8.jpg
La Fuite du Capitaine Volkonogov,120,11/09,14h15,Salle 500,https://www.etrangefestival.com/images/movies/d88b466f362ed3fa0bddc17abac307e116372db8.jpg
Zeria,61,10/09,19h45,Salle 300,https://www.etrangefestival.com/images/movies/505ce82b8e39b1b74083ce3c43d8538c3ab2b02d.jpg
Zeria,61,11/09,16h00,Salle 100,https://www.etrangefestival.com/images/movies/505ce82b8e39b1b74083ce3c43d8538c3ab2b02d.jpg
The roundup,106,06/09,19h00,Salle 500,https://www.etrangefestival.com/images/movies/f6a7648a9ad1f327697376881d0638a4f61f9914.jpg
The roundup,106,10/09,21h00,Salle 500,https://www.etrangefestival.com/images/movies/f6a7648a9ad1f327697376881d0638a4f61f9914.jpg
Tout fout le camp,94,10/09,21h30,Salle 300,https://www.etrangefestival.com/images/movies/161c5e9f4239d6236f6b5ce2a7726d65eecd5ed3.jpg
Shanks,93,11/09,14h00,Salle 100,https://www.etrangefestival.com/images/movies/b21f97fa8848b52229c13ac76b357495ea2ea06d.jpg
Shanks,93,15/09,17h00,Salle 100,https://www.etrangefestival.com/images/movies/b21f97fa8848b52229c13ac76b357495ea2ea06d.jpg
Mon visage embrasé au soleil couchant,82,11/09,14h45,Salle 300,https://www.etrangefestival.com/images/movies/d774d74dfaf6eb3f9462df6cadd59445126263ca.jpg
Mon visage embrasé au soleil couchant,82,12/09,17h45,Salle 300,https://www.etrangefestival.com/images/movies/d774d74dfaf6eb3f9462df6cadd59445126263ca.jpg
Dual + Apologie des zèbres albinos,113,11/09,16h45,Salle 300,https://www.etrangefestival.com/images/programs/73697bc2ef930fb860957c30eea34719512780ff.jpg
Assassinat,104,11/09,19h15,Salle 300,https://www.etrangefestival.com/images/movies/b28e0a82a0056e681a7661f7ad13246754903607.jpg
Assassinat,104,12/09,15h30,Salle 300,https://www.etrangefestival.com/images/movies/b28e0a82a0056e681a7661f7ad13246754903607.jpg
Steven Arnold: Heavenly Bodies,80,11/09,19h30,Salle 100,https://www.etrangefestival.com/images/movies/23dab258a60432198d28ecad6332312741fbe6ed.jpg
Steven Arnold: Heavenly Bodies,80,12/09,22h15,Salle 100,https://www.etrangefestival.com/images/movies/23dab258a60432198d28ecad6332312741fbe6ed.jpg
La Piedad,80,11/09,19h45,Salle 500,https://www.etrangefestival.com/images/movies/ba809464e860dda6437e01131567f1b118750b56.jpg
La Piedad,80,13/09,19h45,Salle 300,https://www.etrangefestival.com/images/movies/ba809464e860dda6437e01131567f1b118750b56.jpg
Luminous Procuress,123,11/09,21h15,Salle 100,https://www.etrangefestival.com/images/programs/7d7cee10bb6fc201f00d3b7d77fa30e2d5fabc9b.jpg
Luminous Procuress,123,15/09,21h15,Salle 100,https://www.etrangefestival.com/images/programs/7d7cee10bb6fc201f00d3b7d77fa30e2d5fabc9b.jpg
Immunité collective,94,11/09,22h00,Salle 500,https://www.etrangefestival.com/images/movies/cbc8073b83599b20357e75ee34f392fb3500f8b9.jpg
Immunité collective,94,13/09,14h15,Salle 500,https://www.etrangefestival.com/images/movies/cbc8073b83599b20357e75ee34f392fb3500f8b9.jpg
L'enfant de la haute mer + Le voyageur du silence + Le puits et le pendule,94,12/09,14h00,Salle 100,https://www.etrangefestival.com/images/programs/6d817f34d15103ab73000dfa2edbe10026ad2669.jpg
Fleur pâle,96,12/09,14h15,Salle 500,https://www.etrangefestival.com/images/movies/98c0260390853cf985b776d848c728af1b15cffa.jpg
Fleur pâle,96,18/09,18h00,Salle 500,https://www.etrangefestival.com/images/movies/98c0260390853cf985b776d848c728af1b15cffa.jpg
Le cocher,120,12/09,16h00,Salle 100,https://www.etrangefestival.com/images/movies/881d5547c6b289a68b1d8b711f44431709916762.jpg
Inu-Oh,98,12/09,16h45,Salle 500,https://www.etrangefestival.com/images/movies/5f6131775ad17541d967e5e6fdf1e0434c07fb46.jpg
Inu-Oh,98,14/09,16h15,Salle 500,https://www.etrangefestival.com/images/movies/5f6131775ad17541d967e5e6fdf1e0434c07fb46.jpg
Un chien andalou + In the shadow of the sun,67,12/09,18h15,Salle 100,https://www.etrangefestival.com/images/programs/e0d4d7ecbbd5073381c2695d5471ae2964267920.jpg
Sick of myself,95,12/09,19h15,Salle 500,https://www.etrangefestival.com/images/movies/27082e7880240287369a44fc5912622097e9f0cd.jpg
Sick of myself,95,13/09,16h45,Salle 500,https://www.etrangefestival.com/images/movies/27082e7880240287369a44fc5912622097e9f0cd.jpg
Paris-Secret,89,12/09,19h45,Salle 300,https://www.etrangefestival.com/images/movies/37d0e6fa15c46aa6e0598702027d93610db7ffd3.jpg
L'origine du mal,122,12/09,21h30,Salle 500,https://www.etrangefestival.com/images/movies/28045322db6d41a4adefc1863e8fe9f61dfaef84.jpg
L'origine du mal,122,13/09,19h00,Salle 500,https://www.etrangefestival.com/images/movies/28045322db6d41a4adefc1863e8fe9f61dfaef84.jpg
L'Empire des sens,111,12/09,21h45,Salle 300,https://www.etrangefestival.com/images/movies/ec1779c0d6915d1e94fce955387fafd2f66bf91b.jpg
Ça peut vous arriver demain,91,13/09,14h00,Salle 100,https://www.etrangefestival.com/images/movies/25bc4c45918fd7a0c8ea3a34b7da4c9601a4ff24.jpg
Ça peut vous arriver demain,91,18/09,14h45,Salle 300,https://www.etrangefestival.com/images/movies/25bc4c45918fd7a0c8ea3a34b7da4c9601a4ff24.jpg
Duffer,75,13/09,18h15,Salle 100,https://www.etrangefestival.com/images/movies/142a9b7eb6c382fb8a27350f73839461b0dd64d2.jpg
Who killed Nancy?,52,13/09,20h00,Salle 100,https://www.etrangefestival.com/images/movies/cc5a3a07970508184bdd1a1641f0a03edc5bd0a1.jpg
Who killed Nancy?,52,14/09,20h00,Salle 100,https://www.etrangefestival.com/images/movies/cc5a3a07970508184bdd1a1641f0a03edc5bd0a1.jpg
Who killed Nancy?,52,17/09,14h00,Salle 500,https://www.etrangefestival.com/images/movies/cc5a3a07970508184bdd1a1641f0a03edc5bd0a1.jpg
Une soirée en enfer,120,13/09,21h30,Salle 100,https://www.etrangefestival.com/images/movies/ba336964902b3a258548c6f202bbf3168630ff46.jpg
La vallée des plaisirs,109,13/09,21h45,Salle 300,https://www.etrangefestival.com/images/movies/c2acb3143cc25f07d34be38495cee807e7ce821a.jpg
Courts 5 - Parmi nous...,103,14/09,14h15,Salle 100,https://www.etrangefestival.com/images/programs/477f4875513feda61fb6501f2e89e02f73fd6928.jpg
Courts 5 - Parmi nous...,103,16/09,14h15,Salle 100,https://www.etrangefestival.com/images/programs/477f4875513feda61fb6501f2e89e02f73fd6928.jpg
Perrault 70,57,14/09,16h30,Salle 100,https://www.etrangefestival.com/images/programs/21bff7d1220fc9df4013db509e3ee4959b57f2f9.jpg
"Orine, la proscrite",109,14/09,16h45,Salle 300,https://www.etrangefestival.com/images/movies/20e9751aa9f5d6c906176de3617b0f96fb2eece0.jpg
"Orine, la proscrite",109,18/09,21h30,Salle 300,https://www.etrangefestival.com/images/movies/20e9751aa9f5d6c906176de3617b0f96fb2eece0.jpg
Family Dinner,97,14/09,18h00,Salle 100,https://www.etrangefestival.com/images/movies/8dea383197255bc892bcb3301b7a8af8c94ccb7e.jpg
Family Dinner,97,15/09,22h00,Salle 500,https://www.etrangefestival.com/images/movies/8dea383197255bc892bcb3301b7a8af8c94ccb7e.jpg
Les rascals,102,14/09,19h00,Salle 500,https://www.etrangefestival.com/images/movies/fee8dcac645b87e29998077c9ffbc7423d1a8d0f.jpg
Les rascals,102,17/09,17h15,Salle 300,https://www.etrangefestival.com/images/movies/fee8dcac645b87e29998077c9ffbc7423d1a8d0f.jpg
Food + L'esprit de la ruche,115,14/09,19h15,Salle 300,https://www.etrangefestival.com/images/programs/0d5e96d8bfaebcbf31a16e0df742998f8da1ff5c.jpg
Objectif Vérité,111,14/09,21h15,Salle 100,https://www.etrangefestival.com/images/movies/c37fdbc17968d9708e3554a451b06f1728838720.jpg
Hunt,131,14/09,21h30,Salle 500,https://www.etrangefestival.com/images/movies/97e736bb71156bc5f82d5d7d1457263606104f7b.jpg
Hunt,131,17/09,15h45,Salle 500,https://www.etrangefestival.com/images/movies/97e736bb71156bc5f82d5d7d1457263606104f7b.jpg
Maîtresse,112,14/09,21h45,Salle 300,https://www.etrangefestival.com/images/movies/2763909da9e0b146f0642222c6c02b815121eb9d.jpg
Silence,129,15/09,15h45,Salle 500,https://www.etrangefestival.com/images/movies/739266a52bbfe3377d8bbc518eee40532c116ac6.jpg
Silence,129,16/09,14h00,Salle 500,https://www.etrangefestival.com/images/movies/739266a52bbfe3377d8bbc518eee40532c116ac6.jpg
Intégrale Alberto Vásquez,125,15/09,16h15,Salle 300,https://www.etrangefestival.com/images/programs/ef6a1763f0334abeabfcc9b54c392febc5d9d5ab.jpg
Cambio de sexo (Je veux être femme),108,15/09,18h45,Salle 500,https://www.etrangefestival.com/images/movies/d448b2d3e8683521438b808bd06ec7e3a7707785.jpg
Courts 7 - C'est dans la terre...,97,15/09,19h00,Salle 100,https://www.etrangefestival.com/images/programs/d27f0cb3ffcbac4fdeb62e65c76d50805216db00.jpg
Courts 7 - C'est dans la terre...,97,17/09,19h15,Salle 100,https://www.etrangefestival.com/images/programs/d27f0cb3ffcbac4fdeb62e65c76d50805216db00.jpg
Le château de la pureté,100,15/09,19h15,Salle 300,https://www.etrangefestival.com/images/movies/9fd704c99d48e6aa52a67151125d34592b82c433.jpg
Mater Amatísima,90,15/09,21h45,Salle 300,https://www.etrangefestival.com/images/movies/1a626bce4df986b5db2f19a4b2ce22ee5335ca9d.jpg
Bienvenue Mister Chance,130,16/09,16h30,Salle 100,https://www.etrangefestival.com/images/movies/20775cc2e9541d4f40046617edd589e1a0b41c8a.jpg
Attachment,105,16/09,17h00,Salle 500,https://www.etrangefestival.com/images/movies/33a8ee090834f117f476553150c74623fe5c0c23.jpg
Attachment,105,17/09,21h45,Salle 300,https://www.etrangefestival.com/images/movies/33a8ee090834f117f476553150c74623fe5c0c23.jpg
Personne ne parlera de nous quand nous serons mortes,104,16/09,17h30,Salle 300,https://www.etrangefestival.com/images/movies/136875194cab3ebd142f6f1b5535bb4592bfc522.jpg
The second civil war + Pièce touchée,113,16/09,19h15,Salle 100,https://www.etrangefestival.com/images/programs/117ecc511200336ea430f16f58e722927058f229.jpg
Unicorn wars,91,16/09,19h30,Salle 500,https://www.etrangefestival.com/images/movies/9087cb2d1cc6cdedb96f832f01ebe0291eeb38bd.jpg
Vous êtes au Village,151,16/09,20h00,Salle 300,https://www.etrangefestival.com/images/programs/9c528bef1860c420e3a7c4b9c242b95d6c0d8111.jpg
Sans nouvelles de Dieu,115,16/09,21h30,Salle 100,https://www.etrangefestival.com/images/movies/bdb88ea3c8cab25e28d418efc61cbfcc272206b8.jpg
Frisson?,106,17/09,14h30,Salle 100,https://www.etrangefestival.com/images/movies/935bf9968773d7bf06dbc0661d5399a007b0d0da.jpg
Frisson?,106,18/09,16h00,Salle 100,https://www.etrangefestival.com/images/movies/935bf9968773d7bf06dbc0661d5399a007b0d0da.jpg
Enquête dans l'impossible,100,17/09,14h45,Salle 300,https://www.etrangefestival.com/images/movies/1f5ba582a9bda0094c26413fcfc7f3694ea6b64e.jpg
La tour,90,17/09,18h45,Salle 500,https://www.etrangefestival.com/images/movies/70a08f1b05c55b82ac78ba459f709c56052114c0.jpg
Les mois d'avril sont meurtiers,88,17/09,19h45,Salle 300,https://www.etrangefestival.com/images/movies/8f7542fbc9a743bce5d72464d8c9029940e2a33d.jpg
Project Wolf Hunting,121,17/09,21h15,Salle 500,https://www.etrangefestival.com/images/movies/9c350bfac7c4fdf8ab72bd61d852982fe7cc94dd.jpg
Project Wolf Hunting,121,18/09,15h00,Salle 500,https://www.etrangefestival.com/images/movies/9c350bfac7c4fdf8ab72bd61d852982fe7cc94dd.jpg
