Title,Duration,Date,Time,Location,ImageURL,Description,StartDatetime,EndDatetime,Start,End
Couleur chair,116,07/09,19h00,Salle 300,https://www.etrangefestival.com/images/movies/d9820de393bdc983b5e2e7159efbe3e34f0811f6.jpg,07/09 - 19h00 - Salle 300 - 116 min,2023-09-07 19:00:00,2023-09-07 20:56:00,2023-09-07T19:00:00,2023-09-07T20:56:00
Courts 3 - Analogies numériques,179,07/09,19h30,Salle 100,https://www.etrangefestival.com/images/programs/cb5d78fba69bfd6817749102ed91cca4b1b6108a.jpg,07/09 - 19h30 - Salle 100 - 179 min,2023-09-07 19:30:00,2023-09-07 22:29:00,2023-09-07T19:30:00,2023-09-07T22:29:00
Courts 3 - Analogies numériques,179,12/09,20h00,Salle 100,https://www.etrangefestival.com/images/programs/cb5d78fba69bfd6817749102ed91cca4b1b6108a.jpg,12/09 - 20h00 - Salle 100 - 179 min,2023-09-12 20:00:00,2023-09-12 22:59:00,2023-09-12T20:00:00,2023-09-12T22:59:00
La femme de Tchaïkovski,143,07/09,20h30,Salle 500,https://www.etrangefestival.com/images/movies/0c4f13ad96f2091fccca72386a4bc40b04154abd.jpg,07/09 - 20h30 - Salle 500 - 143 min,2023-09-07 20:30:00,2023-09-07 22:53:00,2023-09-07T20:30:00,2023-09-07T22:53:00
La femme de Tchaïkovski,143,10/09,14h45,Salle 500,https://www.etrangefestival.com/images/movies/0c4f13ad96f2091fccca72386a4bc40b04154abd.jpg,10/09 - 14h45 - Salle 500 - 143 min,2023-09-10 14:45:00,2023-09-10 17:08:00,2023-09-10T14:45:00,2023-09-10T17:08:00
Seobok + La décongélation de Monsieur Moro,128,07/09,21h30,Salle 300,https://www.etrangefestival.com/images/programs/a9e246d01394162a4c0f2dcc8503b33c6a918727.jpg,07/09 - 21h30 - Salle 300 - 128 min,2023-09-07 21:30:00,2023-09-07 23:38:00,2023-09-07T21:30:00,2023-09-07T23:38:00
L'étang du démon,123,07/09,21h45,Salle 100,https://www.etrangefestival.com/images/movies/5d7f7842ea7342ab8aa50bb11ae28a8d9a786aff.jpg,07/09 - 21h45 - Salle 100 - 123 min,2023-09-07 21:45:00,2023-09-07 23:48:00,2023-09-07T21:45:00,2023-09-07T23:48:00
L'étang du démon,123,14/09,14h00,Salle 300,https://www.etrangefestival.com/images/movies/5d7f7842ea7342ab8aa50bb11ae28a8d9a786aff.jpg,14/09 - 14h00 - Salle 300 - 123 min,2023-09-14 14:00:00,2023-09-14 16:03:00,2023-09-14T14:00:00,2023-09-14T16:03:00
"Vaudou (entre vivants et morts, le sang)",100,08/09,15h00,Salle 100,https://www.etrangefestival.com/images/movies/e09873a0e71412593af73f2fcbf9133b59f6c744.jpg,08/09 - 15h00 - Salle 100 - 100 min,2023-09-08 15:00:00,2023-09-08 16:40:00,2023-09-08T15:00:00,2023-09-08T16:40:00
"Vaudou (entre vivants et morts, le sang)",100,11/09,17h30,Salle 100,https://www.etrangefestival.com/images/movies/e09873a0e71412593af73f2fcbf9133b59f6c744.jpg,11/09 - 17h30 - Salle 100 - 100 min,2023-09-11 17:30:00,2023-09-11 19:10:00,2023-09-11T17:30:00,2023-09-11T19:10:00
Himiko,100,08/09,15h15,Salle 300,https://www.etrangefestival.com/images/movies/7f6e5485fb13a3c9fbab34c38a5dc7403844492f.jpg,08/09 - 15h15 - Salle 300 - 100 min,2023-09-08 15:15:00,2023-09-08 16:55:00,2023-09-08T15:15:00,2023-09-08T16:55:00
Himiko,100,09/09,17h00,Salle 300,https://www.etrangefestival.com/images/movies/7f6e5485fb13a3c9fbab34c38a5dc7403844492f.jpg,09/09 - 17h00 - Salle 300 - 100 min,2023-09-09 17:00:00,2023-09-09 18:40:00,2023-09-09T17:00:00,2023-09-09T18:40:00
Kisapmata,98,08/09,16h15,Salle 500,https://www.etrangefestival.com/images/movies/131f8073bcf0aab77bbd42ab6532aa287fd35eb2.jpg,08/09 - 16h15 - Salle 500 - 98 min,2023-09-08 16:15:00,2023-09-08 17:53:00,2023-09-08T16:15:00,2023-09-08T17:53:00
Kisapmata,98,13/09,17h45,Salle 300,https://www.etrangefestival.com/images/movies/131f8073bcf0aab77bbd42ab6532aa287fd35eb2.jpg,13/09 - 17h45 - Salle 300 - 98 min,2023-09-13 17:45:00,2023-09-13 19:23:00,2023-09-13T17:45:00,2023-09-13T19:23:00
Courts 2 - Hymne des chérubins,90,08/09,17h15,Salle 100,https://www.etrangefestival.com/images/programs/97cc2061811c7b2c6747896439a23723a6e8ed99.jpg,08/09 - 17h15 - Salle 100 - 90 min,2023-09-08 17:15:00,2023-09-08 18:45:00,2023-09-08T17:15:00,2023-09-08T18:45:00
Courts 2 - Hymne des chérubins,90,15/09,14h45,Salle 100,https://www.etrangefestival.com/images/programs/97cc2061811c7b2c6747896439a23723a6e8ed99.jpg,15/09 - 14h45 - Salle 100 - 90 min,2023-09-15 14:45:00,2023-09-15 16:15:00,2023-09-15T14:45:00,2023-09-15T16:15:00
Ne dis rien + L'ultime mariage,113,08/09,17h30,Salle 300,https://www.etrangefestival.com/images/programs/c3085f7eef9887274ffdc9ec59e930f5713fbf77.jpg,08/09 - 17h30 - Salle 300 - 113 min,2023-09-08 17:30:00,2023-09-08 19:23:00,2023-09-08T17:30:00,2023-09-08T19:23:00
We might as well be dead,96,08/09,18h30,Salle 500,https://www.etrangefestival.com/images/movies/7eae8e641adf119b109461f05c2ec87d0525857c.jpg,08/09 - 18h30 - Salle 500 - 96 min,2023-09-08 18:30:00,2023-09-08 20:06:00,2023-09-08T18:30:00,2023-09-08T20:06:00
We might as well be dead,96,11/09,17h15,Salle 500,https://www.etrangefestival.com/images/movies/7eae8e641adf119b109461f05c2ec87d0525857c.jpg,11/09 - 17h15 - Salle 500 - 96 min,2023-09-11 17:15:00,2023-09-11 18:51:00,2023-09-11T17:15:00,2023-09-11T18:51:00
"Pierre Pinoncelli, l'artiste à la phalange coupée",85,08/09,19h30,Salle 100,https://www.etrangefestival.com/images/movies/cbf8bbb4c16f32c7311d5fc6958b971f968a5572.jpg,08/09 - 19h30 - Salle 100 - 85 min,2023-09-08 19:30:00,2023-09-08 20:55:00,2023-09-08T19:30:00,2023-09-08T20:55:00
Happening,99,08/09,20h00,Salle 300,https://www.etrangefestival.com/images/movies/3dd10a225747d5be7cf9c884189ab3a63f360a44.jpg,08/09 - 20h00 - Salle 300 - 99 min,2023-09-08 20:00:00,2023-09-08 21:39:00,2023-09-08T20:00:00,2023-09-08T21:39:00
Spiritwalker,108,08/09,21h00,Salle 500,https://www.etrangefestival.com/images/movies/4a1277ec2c6530c1820f74bf37a6c706c966404b.jpg,08/09 - 21h00 - Salle 500 - 108 min,2023-09-08 21:00:00,2023-09-08 22:48:00,2023-09-08T21:00:00,2023-09-08T22:48:00
Spiritwalker,108,09/09,15h15,Salle 500,https://www.etrangefestival.com/images/movies/4a1277ec2c6530c1820f74bf37a6c706c966404b.jpg,09/09 - 15h15 - Salle 500 - 108 min,2023-09-09 15:15:00,2023-09-09 17:03:00,2023-09-09T15:15:00,2023-09-09T17:03:00
Courts 4 - Dans la maison...,93,08/09,21h30,Salle 100,https://www.etrangefestival.com/images/programs/63320a2acc82cd8e175e9d75d67a9425c0169ead.jpg,08/09 - 21h30 - Salle 100 - 93 min,2023-09-08 21:30:00,2023-09-08 23:03:00,2023-09-08T21:30:00,2023-09-08T23:03:00
Courts 4 - Dans la maison...,93,10/09,19h30,Salle 100,https://www.etrangefestival.com/images/programs/63320a2acc82cd8e175e9d75d67a9425c0169ead.jpg,10/09 - 19h30 - Salle 100 - 93 min,2023-09-10 19:30:00,2023-09-10 21:03:00,2023-09-10T19:30:00,2023-09-10T21:03:00
La guerre des espions,99,08/09,22h00,Salle 300,https://www.etrangefestival.com/images/movies/8e2a017345228129dfe6164d757d2a94b26884ff.jpg,08/09 - 22h00 - Salle 300 - 99 min,2023-09-08 22:00:00,2023-09-08 23:39:00,2023-09-08T22:00:00,2023-09-08T23:39:00
La guerre des espions,99,11/09,21h30,Salle 300,https://www.etrangefestival.com/images/movies/8e2a017345228129dfe6164d757d2a94b26884ff.jpg,11/09 - 21h30 - Salle 300 - 99 min,2023-09-11 21:30:00,2023-09-11 23:09:00,2023-09-11T21:30:00,2023-09-11T23:09:00
Double suicide à Amijima,105,09/09,14h00,Salle 300,https://www.etrangefestival.com/images/movies/63387efb236283d42e4c2c39d300c2480f28178f.jpg,09/09 - 14h00 - Salle 300 - 105 min,2023-09-09 14:00:00,2023-09-09 15:45:00,2023-09-09T14:00:00,2023-09-09T15:45:00
Double suicide à Amijima,105,16/09,14h30,Salle 300,https://www.etrangefestival.com/images/movies/63387efb236283d42e4c2c39d300c2480f28178f.jpg,16/09 - 14h30 - Salle 300 - 105 min,2023-09-16 14:30:00,2023-09-16 16:15:00,2023-09-16T14:30:00,2023-09-16T16:15:00
FilmFarsi,84,09/09,17h45,Salle 100,https://www.etrangefestival.com/images/movies/f2f45e7c022fecc64791b84b77f17b130647c55b.jpg,09/09 - 17h45 - Salle 100 - 84 min,2023-09-09 17:45:00,2023-09-09 19:09:00,2023-09-09T17:45:00,2023-09-09T19:09:00
FilmFarsi,84,18/09,18h30,Salle 100,https://www.etrangefestival.com/images/movies/f2f45e7c022fecc64791b84b77f17b130647c55b.jpg,18/09 - 18h30 - Salle 100 - 84 min,2023-09-18 18:30:00,2023-09-18 19:54:00,2023-09-18T18:30:00,2023-09-18T19:54:00
Sans filtre,147,09/09,18h00,Salle 500,https://www.etrangefestival.com/images/movies/ec5cff74cace6a0ac70b4ab543462f4784c861cf.jpg,09/09 - 18h00 - Salle 500 - 147 min,2023-09-09 18:00:00,2023-09-09 20:27:00,2023-09-09T18:00:00,2023-09-09T20:27:00
Sans filtre,147,10/09,14h15,Salle 300,https://www.etrangefestival.com/images/movies/ec5cff74cace6a0ac70b4ab543462f4784c861cf.jpg,10/09 - 14h15 - Salle 300 - 147 min,2023-09-10 14:15:00,2023-09-10 16:42:00,2023-09-10T14:15:00,2023-09-10T16:42:00
Soirée Punk Neuroatypique,186,09/09,19h30,Salle 300,https://www.etrangefestival.com/images/programs/66657ebd291211b5f10554fae53fbb27ea988683.jpg,09/09 - 19h30 - Salle 300 - 186 min,2023-09-09 19:30:00,2023-09-09 22:36:00,2023-09-09T19:30:00,2023-09-09T22:36:00
